alpha1,alpha2,alpha3,rank,auroc,fpr_at_95tpr,detection_error,threshold_at_target_tpr
0.58,15.0,0.5,32,0.9893846960765156,0.03589108910891089,0.03918870505471602,0.9936310052871704
0.58,15.5,0.5,32,0.989413872513896,0.03712871287128713,0.03903400208441899,0.9936297535896301
0.58,16.0,0.5,32,0.9894476289734236,0.03681930693069307,0.03880873284696889,0.9936344027519226
0.58,16.5,0.5,32,0.9894788409762029,0.03620049504950495,0.03858346360951885,0.9936384558677673
0.58,17.0,0.5,32,0.989502758869637,0.03620049504950495,0.03858346360951885,0.9936423301696777
0.6,15.0,0.5,32,0.989338895855046,0.03650990099009901,0.03935697846100399,0.9936333894729614
0.6,15.5,0.5,32,0.9893762145540211,0.03620049504950495,0.03911813878756295,0.9936367273330688
0.6,16.0,0.5,32,0.9893992842952057,0.03558168316831683,0.03880873284696889,0.993640124797821
0.6,16.5,0.5,32,0.9894338889069828,0.03558168316831683,0.03849932690637483,0.9936433434486389
0.6,17.0,0.5,32,0.9894583156917666,0.03558168316831683,0.03834462393607781,0.9936466217041016
0.62,15.0,0.5,32,0.9892752844363383,0.03681930693069307,0.03951168143130102,0.9936385154724121
0.62,15.5,0.5,32,0.989304460873719,0.03712871287128713,0.03927284175785998,0.9936373829841614
0.62,16.0,0.5,32,0.9893317713761507,0.03712871287128713,0.03896343581726592,0.9936400651931763
0.62,16.5,0.5,32,0.9893589122481328,0.03620049504950495,0.03865402987667186,0.9936485290527344
0.62,17.0,0.5,32,0.9893923294467604,0.03681930693069307,0.03834462393607781,0.9936485886573792
