alpha1,alpha2,alpha3,rank,auroc,fpr_at_95tpr,detection_error,threshold_at_target_tpr
0.55,13.0,0.5,32,0.9892946223076254,0.038366336633663366,0.03965281396560711,0.9936093688011169
0.55,14.0,0.5,32,0.9893692597055759,0.038056930693069306,0.03911813878756295,0.9936156868934631
0.55,15.0,0.5,32,0.9894360941028313,0.037747524752475246,0.03833105350008686,0.9936246871948242
0.55,16.0,0.5,32,0.9895005536737884,0.037747524752475246,0.0380216475594928,0.9936267137527466
0.55,17.0,0.5,32,0.9895600939616989,0.03743811881188119,0.03786694458919577,0.9936356544494629
0.55,18.0,0.5,32,0.9895980911824734,0.03743811881188119,0.0380216475594928,0.9936408996582031
0.6,13.0,0.5,32,0.9891957277553414,0.03650990099009901,0.03979394649991314,0.9936243295669556
0.6,14.0,0.5,32,0.9892686688487927,0.03681930693069307,0.03948454055931908,0.993626594543457
0.6,15.0,0.5,32,0.989338895855046,0.03650990099009901,0.03935697846100399,0.9936333894729614
0.6,16.0,0.5,32,0.9893992842952057,0.03558168316831683,0.03880873284696889,0.993640124797821
0.6,17.0,0.5,32,0.9894583156917666,0.03558168316831683,0.03834462393607781,0.9936466217041016
0.6,18.0,0.5,32,0.9895044551741358,0.03589108910891089,0.03834462393607781,0.9936517477035522
0.65,13.0,0.5,32,0.9890316951103004,0.03620049504950495,0.04051046552023622,0.9936363697052002
0.65,14.0,0.5,32,0.989100056181605,0.03620049504950495,0.0401169228764982,0.9936390519142151
0.65,15.0,0.5,32,0.9891835143629495,0.03650990099009901,0.03973695066875107,0.993644118309021
0.65,16.0,0.5,32,0.9892549287823518,0.03650990099009901,0.03927284175785998,0.9936510324478149
0.65,17.0,0.5,32,0.9893002201124717,0.03650990099009901,0.038667600312662864,0.993657648563385
0.65,18.0,0.5,32,0.9893534840737362,0.03620049504950495,0.03834462393607781,0.9936626553535461
